candidate_id,fold,row_type,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda,n_train_unique,n_train_augmented,best_iteration,effective_n_estimators,train_accuracy,train_roc_auc,train_log_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_log_loss,val_brier,train_val_auc_gap,abs_train_val_auc_gap,fit_seconds,val_log_loss_mean,val_log_loss_std,val_roc_auc_mean,val_roc_auc_std,val_brier_mean,val_accuracy_mean,val_precision_mean,val_recall_mean,val_f1_mean,train_roc_auc_mean,train_log_loss_mean,mean_abs_train_val_auc_gap,train_val_auc_gap_mean,best_iterations,median_effective_n_estimators,mean_fit_seconds
local_003,4.0,fold,0.02,2,40,0.9,0.85,2.0,0.01,10.0,6154.0,12308.0,289.0,290.0,0.6031849203769906,0.6417056406064721,0.6596829216007164,0.5963930348258707,0.6097067745197169,0.6963048498845266,0.6501347708894879,0.6378133500992885,0.6586437773600168,0.23340590298175812,0.003892290507183538,0.003892290507183538,0.5075666000047931,,,,,,,,,,,,,,,,
local_004,1.0,fold,0.02,3,40,0.7,1.0,8.0,0.01,20.0,1221.0,2442.0,96.0,97.0,0.6175266175266175,0.6414924608205432,0.6694304635631605,0.5803108808290155,0.5990510083036773,0.6196319018404908,0.609167671893848,0.6132882257399412,0.6751108021306492,0.24106945097446442,0.02820423508060199,0.02820423508060199,0.13929740000457969,,,,,,,,,,,,,,,,
local_004,2.0,fold,0.02,3,40,0.7,1.0,8.0,0.01,20.0,2765.0,5530.0,346.0,347.0,0.6300180831826402,0.6693128989047357,0.6519661064287967,0.5764044943820225,0.5895316804407713,0.6765015806111696,0.6300294406280668,0.5940314651308174,0.6778566735423085,0.24244727194309235,0.07528143377391827,0.07528143377391827,0.43611020000389544,,,,,,,,,,,,,,,,
local_004,3.0,fold,0.02,3,40,0.7,1.0,8.0,0.01,20.0,4545.0,9090.0,60.0,61.0,0.607040704070407,0.638509533922611,0.6703137163365042,0.5947793660658794,0.5964214711729622,0.7092198581560284,0.6479481641468683,0.6242707181122172,0.6727832528271813,0.23992472887039185,0.014238815810393768,0.014238815810393768,0.1772184000001289,,,,,,,,,,,,,,,,
local_004,4.0,fold,0.02,3,40,0.7,1.0,8.0,0.01,20.0,6154.0,12308.0,361.0,362.0,0.615209619759506,0.655258712219397,0.6545771576807492,0.5963930348258707,0.6097067745197169,0.6963048498845266,0.6501347708894879,0.6397890041894139,0.6576392780337511,0.23291847109794617,0.015469708029983154,0.015469708029983154,0.6913578000021516,,,,,,,,,,,,,,,,
local_005,1.0,fold,0.03,2,40,0.7,0.7,8.0,0.1,10.0,1221.0,2442.0,80.0,81.0,0.6150696150696151,0.6386318884363283,0.6689211936720516,0.5854922279792746,0.6011560693641619,0.6380368098159509,0.6190476190476191,0.616939752749796,0.6734808401319977,0.24027566611766815,0.021692135686532388,0.021692135686532388,0.08683200000086799,,,,,,,,,,,,,,,,
local_005,2.0,fold,0.03,2,40,0.7,0.7,8.0,0.1,10.0,2765.0,5530.0,570.0,571.0,0.6256781193490054,0.6751251543088279,0.6487480167007014,0.5719101123595506,0.5884578997161779,0.6554267650158061,0.6201395812562313,0.5896668733570964,0.6794039052806368,0.24322456121444702,0.08545828095173147,0.08545828095173147,0.5437889999957406,,,,,,,,,,,,,,,,
local_005,3.0,fold,0.03,2,40,0.7,0.7,8.0,0.1,10.0,4545.0,9090.0,89.0,90.0,0.6028602860286029,0.631253555946437,0.6671114301862983,0.5904288377874456,0.594159113796576,0.6973995271867612,0.641653072321914,0.6264969062646206,0.6679290850820683,0.23763932287693024,0.004756649681816327,0.004756649681816327,0.16007909999461845,,,,,,,,,,,,,,,,
local_005,4.0,fold,0.03,2,40,0.7,0.7,8.0,0.1,10.0,6154.0,12308.0,343.0,344.0,0.6095222619434514,0.6437152699922661,0.6584012313218403,0.6038557213930348,0.6157735085945399,0.7032332563510393,0.6566037735849056,0.6391898495421526,0.6577464053446599,0.23299214243888855,0.004525420450113504,0.004525420450113504,0.49090789999900153,,,,,,,,,,,,,,,,
local_006,1.0,fold,0.03,2,40,0.9,0.7,8.0,0.5,5.0,1221.0,2442.0,49.0,50.0,0.6191646191646192,0.6439362878644836,0.6707529977755389,0.5854922279792746,0.6,0.6441717791411042,0.621301775147929,0.6110446279044325,0.6765218637073266,0.24175165593624115,0.03289165996005117,0.03289165996005117,0.06796520000352757,,,,,,,,,,,,,,,,
