stage,round,best_of,team_a,team_b,times_matchup_occurred,fraction_of_simulations,model_probability_team_a,team_a_win_count,team_b_win_count
playoffs,1,3,FURIA Esports,9z Team,179,0.00358,0.6314863283124375,116,63
playoffs,1,3,FURIA Esports,Astralis,412,0.00824,0.6136025472817741,227,185
playoffs,1,3,FURIA Esports,Aurora Gaming,786,0.01572,0.5503931051644269,425,361
playoffs,1,3,FURIA Esports,B8 Esports,211,0.00422,0.588497973546425,116,95
playoffs,1,3,FURIA Esports,BIG,292,0.00584,0.5432402561436419,165,127
playoffs,1,3,FURIA Esports,BetBoom Team,459,0.00918,0.5417344182534817,247,212
playoffs,1,3,FURIA Esports,FUT Esports,405,0.0081,0.5815603022624919,247,158
playoffs,1,3,FURIA Esports,FlyQuest,102,0.00204,0.6450801326482053,65,37
playoffs,1,3,FURIA Esports,G2 Esports,559,0.01118,0.5573381954391472,309,250
playoffs,1,3,FURIA Esports,Gaimin Gladiators,9,0.00018,0.7415797339137898,3,6
playoffs,1,3,FURIA Esports,GamerLegion,347,0.00694,0.5607684671078684,206,141
playoffs,1,3,FURIA Esports,Heroic,102,0.00204,0.6315563602902533,54,48
playoffs,1,3,FURIA Esports,Legacy,521,0.01042,0.5315177879046028,292,229
playoffs,1,3,FURIA Esports,Lynn Vision Gaming,22,0.00044,0.6804667994523723,12,10
playoffs,1,3,FURIA Esports,M80,73,0.00146,0.6429381071878794,54,19
playoffs,1,3,FURIA Esports,MIBR,105,0.0021,0.6314771764985536,72,33
playoffs,1,3,FURIA Esports,MOUZ,1219,0.02438,0.40056873475653876,499,720
playoffs,1,3,FURIA Esports,Monte,216,0.00432,0.6358479790229203,140,76
playoffs,1,3,FURIA Esports,NRG Esports,6,0.00012,0.7672075255990322,5,1
playoffs,1,3,FURIA Esports,Natus Vincere,1090,0.0218,0.35178615730322804,372,718
playoffs,1,3,FURIA Esports,PARIVISION,660,0.0132,0.5826327428119881,381,279
playoffs,1,3,FURIA Esports,Sharks Esports,37,0.00074,0.6852260328525561,31,6
playoffs,1,3,FURIA Esports,Sinners Esports,149,0.00298,0.6301898138905953,90,59
playoffs,1,3,FURIA Esports,THUNDERdOWNUNDER,4,8e-05,0.7157653606127143,4,0
playoffs,1,3,FURIA Esports,TYLOO,45,0.0009,0.6663431316129406,26,19
playoffs,1,3,FURIA Esports,Team Falcons,1057,0.02114,0.3811539428213504,397,660
playoffs,1,3,FURIA Esports,Team Liquid,45,0.0009,0.6392261219755823,34,11
playoffs,1,3,FURIA Esports,Team Spirit,1103,0.02206,0.24330691841879917,267,836
playoffs,1,3,FURIA Esports,Team Vitality,1077,0.02154,0.23023081813455623,264,813
playoffs,1,3,FURIA Esports,The Mongolz,936,0.01872,0.548009217701125,524,412
playoffs,1,3,FURIA Esports,paiN Gaming,216,0.00432,0.5969278772259512,119,97
playoffs,1,3,FUT Esports,9z Team,56,0.00112,0.6201095803350011,33,23
playoffs,1,3,FUT Esports,Astralis,125,0.0025,0.4617431263477422,64,61
playoffs,1,3,FUT Esports,Aurora Gaming,238,0.00476,0.4680601000159381,118,120
playoffs,1,3,FUT Esports,B8 Esports,51,0.00102,0.5397662495149186,28,23
playoffs,1,3,FUT Esports,BIG,87,0.00174,0.5209604874541418,49,38
playoffs,1,3,FUT Esports,BetBoom Team,152,0.00304,0.4295393979542116,48,104
playoffs,1,3,FUT Esports,FURIA Esports,293,0.00586,0.42219725993234597,128,165
playoffs,1,3,FUT Esports,FlyQuest,26,0.00052,0.6056494097589037,14,12
playoffs,1,3,FUT Esports,G2 Esports,184,0.00368,0.4489722248743712,79,105
playoffs,1,3,FUT Esports,Gaimin Gladiators,4,8e-05,0.6719007526341157,3,1
playoffs,1,3,FUT Esports,GamerLegion,105,0.0021,0.45857484001810794,48,57
playoffs,1,3,FUT Esports,Heroic,43,0.00086,0.5864686319595463,31,12
playoffs,1,3,FUT Esports,Legacy,163,0.00326,0.44920050637361025,72,91
playoffs,1,3,FUT Esports,Lynn Vision Gaming,6,0.00012,0.6932889340050709,4,2
playoffs,1,3,FUT Esports,M80,23,0.00046,0.6337665103038597,12,11
playoffs,1,3,FUT Esports,MIBR,28,0.00056,0.5441115995336758,19,9
playoffs,1,3,FUT Esports,MOUZ,344,0.00688,0.359255734156144,123,221
playoffs,1,3,FUT Esports,Monte,68,0.00136,0.5596261926910683,34,34
playoffs,1,3,FUT Esports,NRG Esports,3,6e-05,0.7457613236052313,3,0
playoffs,1,3,FUT Esports,Natus Vincere,363,0.00726,0.29649382895923465,104,259
playoffs,1,3,FUT Esports,PARIVISION,234,0.00468,0.5468662798963349,126,108
playoffs,1,3,FUT Esports,Sharks Esports,10,0.0002,0.6794958532518988,8,2
playoffs,1,3,FUT Esports,Sinners Esports,58,0.00116,0.528807168328171,32,26
playoffs,1,3,FUT Esports,THUNDERdOWNUNDER,2,4e-05,0.7289664711637237,0,2
playoffs,1,3,FUT Esports,TYLOO,16,0.00032,0.6710920743730963,11,5
playoffs,1,3,FUT Esports,Team Falcons,326,0.00652,0.3424844767162103,115,211
playoffs,1,3,FUT Esports,Team Liquid,13,0.00026,0.5943083484804125,9,4
playoffs,1,3,FUT Esports,Team Spirit,347,0.00694,0.22233217827040813,71,276
playoffs,1,3,FUT Esports,Team Vitality,335,0.0067,0.22988582562171236,81,254
playoffs,1,3,FUT Esports,The Mongolz,265,0.0053,0.42560428936140393,108,157
playoffs,1,3,FUT Esports,paiN Gaming,60,0.0012,0.5377019199682928,36,24
playoffs,1,3,FlyQuest,9z Team,14,0.00028,0.49084067974170353,6,8
playoffs,1,3,FlyQuest,Astralis,30,0.0006,0.3871567850952833,9,21
playoffs,1,3,FlyQuest,Aurora Gaming,56,0.00112,0.38565571739950744,16,40
playoffs,1,3,FlyQuest,B8 Esports,8,0.00016,0.4587725631424121,6,2
playoffs,1,3,FlyQuest,BIG,13,0.00026,0.38369052542962073,7,6
playoffs,1,3,FlyQuest,BetBoom Team,36,0.00072,0.3860451376238028,13,23
playoffs,1,3,FlyQuest,FURIA Esports,53,0.00106,0.36712500593734443,17,36
playoffs,1,3,FlyQuest,FUT Esports,23,0.00046,0.39482916158546966,8,15
playoffs,1,3,FlyQuest,G2 Esports,36,0.00072,0.37282958539961464,10,26
playoffs,1,3,FlyQuest,Gaimin Gladiators,1,2e-05,0.6412761462795045,1,0
playoffs,1,3,FlyQuest,GamerLegion,19,0.00038,0.375296822842352,8,11
playoffs,1,3,FlyQuest,Heroic,3,6e-05,0.527211122327652,2,1
playoffs,1,3,FlyQuest,Legacy,33,0.00066,0.3676587805576028,9,24
playoffs,1,3,FlyQuest,M80,4,8e-05,0.5407100229293589,1,3
playoffs,1,3,FlyQuest,MIBR,1,2e-05,0.5385991394563298,0,1
playoffs,1,3,FlyQuest,MOUZ,60,0.0012,0.2778365478265351,17,43
playoffs,1,3,FlyQuest,Monte,10,0.0002,0.4783815877432272,4,6
playoffs,1,3,FlyQuest,Natus Vincere,69,0.00138,0.26393120838835116,23,46
playoffs,1,3,FlyQuest,PARIVISION,50,0.001,0.41507101021061227,24,26
playoffs,1,3,FlyQuest,Sharks Esports,4,8e-05,0.6198513153451353,3,1
playoffs,1,3,FlyQuest,Sinners Esports,13,0.00026,0.44457785993508897,5,8
playoffs,1,3,FlyQuest,THUNDERdOWNUNDER,1,2e-05,0.6665128962972464,1,0
playoffs,1,3,FlyQuest,TYLOO,2,4e-05,0.5493921973605117,2,0
playoffs,1,3,FlyQuest,Team Falcons,68,0.00136,0.3214588334572169,19,49
playoffs,1,3,FlyQuest,Team Liquid,4,8e-05,0.5356582394841176,3,1
playoffs,1,3,FlyQuest,Team Spirit,75,0.0015,0.22051762985193463,18,57
playoffs,1,3,FlyQuest,Team Vitality,81,0.00162,0.28140778132091915,25,56
playoffs,1,3,FlyQuest,The Mongolz,76,0.00152,0.3698325522400828,22,54
