state_type,match_id,deployment_history_status,eligible_for_state,consumed_by_state,eligibility_reason
form,801292,included,True,True,both sides identity-eligible: both histories updated
form,802131,included,True,True,both sides identity-eligible: both histories updated
form,802162,included,True,True,both sides identity-eligible: both histories updated
form,802163,included,True,True,both sides identity-eligible: both histories updated
form,802164,included,True,True,both sides identity-eligible: both histories updated
form,802166,included,True,True,both sides identity-eligible: both histories updated
form,802329,included,True,True,both sides identity-eligible: both histories updated
form,805127,included,True,True,both sides identity-eligible: both histories updated
form,805128,included,True,True,both sides identity-eligible: both histories updated
form,805765,included,True,True,both sides identity-eligible: both histories updated
form,806177,included,True,True,both sides identity-eligible: both histories updated
form,806178,included,True,True,both sides identity-eligible: both histories updated
form,806777,included,True,True,both sides identity-eligible: both histories updated
form,806778,included,True,True,both sides identity-eligible: both histories updated
form,809464,included,True,True,both sides identity-eligible: both histories updated
form,810096,included,True,True,both sides identity-eligible: both histories updated
form,812849,included,True,True,both sides identity-eligible: both histories updated
form,812850,included,True,True,both sides identity-eligible: both histories updated
form,813405,included,True,True,both sides identity-eligible: both histories updated
form,813406,included,True,True,both sides identity-eligible: both histories updated
form,815409,included,True,True,both sides identity-eligible: both histories updated
form,816384,included,True,True,both sides identity-eligible: both histories updated
form,818252,included,True,True,both sides identity-eligible: both histories updated
form,818472,included,True,True,both sides identity-eligible: both histories updated
form,818886,included,True,True,both sides identity-eligible: both histories updated
form,819092,included,True,True,both sides identity-eligible: both histories updated
form,821095,included,True,True,both sides identity-eligible: both histories updated
form,821411,included,True,True,both sides identity-eligible: both histories updated
form,822503,included,True,True,both sides identity-eligible: both histories updated
form,822504,included,True,True,both sides identity-eligible: both histories updated
form,822505,included,True,True,both sides identity-eligible: both histories updated
form,822506,included,True,True,both sides identity-eligible: both histories updated
form,822507,included,True,True,team2_not_identity_eligible - only the eligible side's own history updated
form,822508,included,True,True,both sides identity-eligible: both histories updated
form,822509,included,True,True,both sides identity-eligible: both histories updated
form,826771,included,True,True,both sides identity-eligible: both histories updated
form,831943,included,True,True,both sides identity-eligible: both histories updated
form,831944,included,True,True,both sides identity-eligible: both histories updated
form,832377,included,True,True,both sides identity-eligible: both histories updated
form,832378,included,True,True,both sides identity-eligible: both histories updated
form,832380,included,True,True,both sides identity-eligible: both histories updated
form,832381,included,True,True,both sides identity-eligible: both histories updated
form,835097,included,True,True,both sides identity-eligible: both histories updated
form,835282,included,True,True,both sides identity-eligible: both histories updated
form,835283,included,True,True,both sides identity-eligible: both histories updated
form,837313,included,True,True,both sides identity-eligible: both histories updated
form,837314,included,True,True,both sides identity-eligible: both histories updated
form,837315,included,True,True,both sides identity-eligible: both histories updated
form,837316,included,True,True,both sides identity-eligible: both histories updated
form,837659,included,True,True,both sides identity-eligible: both histories updated
form,837660,included,True,True,both sides identity-eligible: both histories updated
form,837661,included,True,True,both sides identity-eligible: both histories updated
form,837891,included,True,True,both sides identity-eligible: both histories updated
form,837892,included,True,True,both sides identity-eligible: both histories updated
form,837893,included,True,True,both sides identity-eligible: both histories updated
form,837894,included,True,True,both sides identity-eligible: both histories updated
form,837895,included,True,True,both sides identity-eligible: both histories updated
form,837898,included,True,True,team2_not_identity_eligible - only the eligible side's own history updated
form,839270,included,True,True,both sides identity-eligible: both histories updated
form,839541,included,True,True,both sides identity-eligible: both histories updated
form,839543,included,True,True,both sides identity-eligible: both histories updated
form,839722,included,True,True,both sides identity-eligible: both histories updated
form,839723,included,True,True,both sides identity-eligible: both histories updated
form,841469,included,True,True,both sides identity-eligible: both histories updated
form,841470,included,True,True,both sides identity-eligible: both histories updated
form,841734,included,True,True,both sides identity-eligible: both histories updated
form,841904,included,True,True,both sides identity-eligible: both histories updated
form,842070,included,True,True,both sides identity-eligible: both histories updated
form,844176,included,True,True,both sides identity-eligible: both histories updated
form,844328,included,True,True,both sides identity-eligible: both histories updated
form,844329,included,True,True,both sides identity-eligible: both histories updated
form,844897,included,True,True,both sides identity-eligible: both histories updated
form,847132,included,True,True,both sides identity-eligible: both histories updated
form,847918,included,True,True,both sides identity-eligible: both histories updated
form,847919,included,True,True,both sides identity-eligible: both histories updated
form,849272,included,True,True,both sides identity-eligible: both histories updated
form,849274,included,True,True,both sides identity-eligible: both histories updated
form,849615,included,True,True,both sides identity-eligible: both histories updated
form,849617,included,True,True,team2_not_identity_eligible - only the eligible side's own history updated
form,849618,included,True,True,both sides identity-eligible: both histories updated
form,849619,included,True,True,both sides identity-eligible: both histories updated
form,849621,included,True,True,both sides identity-eligible: both histories updated
